Case,CouponRate,BidPrice,iFlower
1,7,92.94,0
2,9,101.44,0
3,7,92.66,0
4,4.125,94.5,1
5,13.125,118.94,0
6,8,96.75,0
7,8.75,100.88,0
8,12.625,117.25,0
9,9.5,103.34,0
10,10.125,106.25,0
11,11.625,113.19,0
12,8.625,99.44,0
13,3,94.5,1
14,10.5,108.31,0
15,11.25,111.69,0
16,8.375,98.09,0
17,10.375,107.91,0
18,11.25,111.97,0
19,12.625,119.06,0
20,8.875,100.38,0
21,10.5,108.5,0
22,8.625,99.25,0
23,9.5,103.63,0
24,11.5,114.03,0
25,8.875,100.38,0
26,7.375,92.06,0
27,7.25,90.88,0
28,8.625,98.41,0
29,8.5,97.75,0
30,8.875,99.88,0
31,8.125,95.16,0
32,9,100.66,0
33,9.25,102.31,0
34,7,88,0
35,3.5,94.53,1