Small Litter Size,Large Litter Size
0.42,0.94
1.73,1.26
3.18,2.58
5.59,5.39
10.32,8.96
14.27,21
0.86,1.44
2.17,3.24
3.27,6.25
7.04,9.92
10.41,21.41
14.56,1.49
0.88,3.39
2.42,7.02
3.3,11.36
7.15,23.27
10.48,1.63
15.84,3.53
1.11,7.89
2.48,12.15
3.61,24.71
7.25,1.8
11.29,3.77
18.55,7.97
1.34,14.4
2.74,25
3.63,2
7.75,4.36
12.3,8
19.73,16
1.38,28.75
2.74,2
4.13,4.41
8,8.28
12.53,18.61
20,30.23
1.42,2.56
2.79,4.6
4.4,8.83
8.84,18.75
12.69,35.45
1.47,4.67
2.9,8.91
5,19.05
9.3,
14.14,
1.63,
3.12,
5.2,
9.68,
14.15,